id,type,principal,date,location id,cleric
166470-1020-6-E1,baptism,166470-P00615,1830-03-14,166470-L1,166470-P00715
166470-1020-6-E2,birth,166470-P00615,1831-01-10/,,
166470-1021-1-E1,baptism,166470-P00616,1830-03-20,166470-L1,166470-P00715
166470-1021-1-E2,birth,166470-P00616,1831-02-20/,,
166470-1021-2-E1,baptism,166470-P00634,1830-03-01/1830-04-01,166470-L1,166470-P00715
166470-1021-3-E1,baptism,166470-P00638,1830-04-04,166470-L1,166470-P00715
166470-1021-4-E1,baptism,166470-P00642,1830-04-04,166470-L1,166470-P00715
166470-1021-5-E1,baptism,166470-P00643,1830-04-07,166470-L1,166470-P00715
166470-1021-5-E2,birth,166470-P00643,1831-01-12/,,
166470-1021-6-E1,baptism,166470-P00655,1830-04-10,166470-L1,166470-P00715
166470-1021-7-E1,baptism,166470-P00660,1830-04-11,166470-L1,166470-P00715
166470-1021-7-E2,birth,166470-P00660,1831-02-20/,,
166470-1022-1-E1,baptism,166470-P00661,1830-04-20,166470-L1,166470-P00715
166470-1022-1-E2,birth,166470-P00661,1831-03-15/,,
166470-1022-2-E1,baptism,166470-P00673,1830-04-20,166470-L1,166470-P00715
166470-1022-2-E2,birth,166470-P00673,1831-04-20/,,
166470-1022-3-E1,baptism,166470-P00686,1830-04-30,166470-L1,166470-P00715
166470-1022-3-E2,birth,166470-P00686,1830-12-11,,
166470-1022-4-E1,baptism,166470-P00696,1830-05-05,166470-L1,166470-P00715
166470-1022-4-E2,birth,166470-P00696,1830-12-09,,
166470-1022-5-E1,baptism,166470-P00701,1830-05-08,166470-L1,166470-P00715
166470-1022-6-E1,baptism,166470-P00703,1830-05-08,166470-L1,166470-P00715
166470-1022-7-E1,baptism,166470-P00706,1830-05-08,166470-L1,166470-P00715
166470-1023-1-E1,baptism,166470-P00708,1830-05-08,166470-L1,166470-P00715
166470-1023-2-E1,baptism,166470-P00712,1830-05-10,166470-L1,166470-P00715
